lon lat dep Vp Vs
99.000 24.200 0.000 4.867 2.920
99.000 24.400 0.000 4.759 2.908
99.000 24.600 0.000 4.751 2.908
99.000 24.800 0.000 4.768 2.921
99.000 25.000 0.000 4.842 2.954
99.000 25.200 0.000 4.779 2.934
99.000 25.400 0.000 4.773 2.934
99.000 25.600 0.000 4.863 2.962
99.000 25.800 0.000 4.928 2.946
99.000 26.000 0.000 4.986 2.955
99.000 26.200 0.000 5.093 2.978
99.000 26.400 0.000 5.169 2.985
99.000 26.600 0.000 5.214 3.002
99.000 26.800 0.000 5.238 3.010
99.000 27.000 0.000 5.230 3.007
99.000 27.200 0.000 5.230 3.019
99.000 27.400 0.000 5.221 3.032
99.000 27.600 0.000 5.163 3.030
99.000 27.800 0.000 5.117 3.026
99.000 28.000 0.000 5.135 3.031
99.000 28.200 0.000 5.197 3.041
99.000 28.400 0.000 5.230 3.058
99.000 28.600 0.000 5.245 3.068
99.000 28.800 0.000 5.248 3.069
99.000 29.000 0.000 5.257 3.085
99.000 29.200 0.000 5.361 3.100
99.000 29.400 0.000 5.283 3.095
99.000 29.600 0.000 5.208 3.103
99.000 29.800 0.000 5.212 3.132
99.000 30.000 0.000 5.142 3.144
99.000 30.200 0.000 5.190 3.140
99.000 30.400 0.000 5.199 3.112
99.000 30.600 0.000 5.235 3.109
99.000 30.800 0.000 5.206 3.110
99.000 31.000 0.000 5.246 3.121
99.000 31.200 0.000 5.250 3.125
99.000 31.400 0.000 5.164 3.120
99.000 31.600 0.000 5.181 3.127
99.000 31.800 0.000 5.243 3.142
99.000 32.000 0.000 5.307 3.155
99.200 23.400 0.000 5.120 2.958
99.200 23.600 0.000 5.096 2.975
99.200 23.800 0.000 4.999 2.937
99.200 24.000 0.000 4.993 2.940
99.200 24.200 0.000 4.931 2.932
99.200 24.400 0.000 4.828 2.920
99.200 24.600 0.000 4.785 2.912
99.200 24.800 0.000 4.807 2.931
99.200 25.000 0.000 4.896 2.957
99.200 25.200 0.000 4.840 2.955
99.200 25.400 0.000 4.792 2.945
99.200 25.600 0.000 4.834 2.937
99.200 25.800 0.000 4.978 2.997
99.200 26.000 0.000 4.980 2.967
99.200 26.200 0.000 5.021 2.966
99.200 26.400 0.000 5.092 2.982
99.200 26.600 0.000 5.148 2.995
99.200 26.800 0.000 5.226 3.022
99.200 27.000 0.000 5.278 3.026
99.200 27.200 0.000 5.240 3.021
99.200 27.400 0.000 5.221 3.026
99.200 27.600 0.000 5.183 3.016
99.200 27.800 0.000 5.186 3.023
99.200 28.000 0.000 5.205 3.037
99.200 28.200 0.000 5.269 3.048
99.200 28.400 0.000 5.280 3.069
99.200 28.600 0.000 5.325 3.087
99.200 28.800 0.000 5.295 3.071
99.200 29.000 0.000 5.351 3.091
99.200 29.200 0.000 5.300 3.090
99.200 29.400 0.000 5.349 3.097
99.200 29.600 0.000 5.394 3.130
99.200 29.800 0.000 5.408 3.151
99.200 30.000 0.000 5.295 3.159
99.200 30.200 0.000 5.090 3.090
99.200 30.400 0.000 5.015 3.035
99.200 30.600 0.000 5.041 3.042
99.200 30.800 0.000 5.142 3.070
99.200 31.000 0.000 5.226 3.114
99.200 31.200 0.000 5.229 3.118
99.200 31.400 0.000 5.128 3.112
99.200 31.600 0.000 5.197 3.123
99.200 31.800 0.000 5.219 3.132
99.200 32.000 0.000 5.235 3.136
99.200 32.200 0.000 5.302 3.151
99.400 23.200 0.000 5.119 2.975
99.400 23.400 0.000 5.149 2.996
99.400 23.600 0.000 5.121 2.986
99.400 23.800 0.000 5.074 2.972
99.400 24.000 0.000 5.024 2.951
99.400 24.200 0.000 4.977 2.954
99.400 24.400 0.000 4.879 2.934
99.400 24.600 0.000 4.823 2.935
99.400 24.800 0.000 4.830 2.953
99.400 25.000 0.000 4.860 2.959
99.400 25.200 0.000 4.791 2.939
99.400 25.400 0.000 4.756 2.938
99.400 25.600 0.000 4.814 2.952
99.400 25.800 0.000 4.950 2.991
99.400 26.000 0.000 4.979 2.984
99.400 26.200 0.000 5.027 2.982
99.400 26.400 0.000 5.046 2.981
99.400 26.600 0.000 5.075 2.977
99.400 26.800 0.000 5.174 3.006
99.400 27.000 0.000 5.239 3.017
99.400 27.200 0.000 5.232 3.015
99.400 27.400 0.000 5.238 3.018
99.400 27.600 0.000 5.302 3.038
99.400 27.800 0.000 5.290 3.037
99.400 28.000 0.000 5.316 3.048
99.400 28.200 0.000 5.354 3.072
99.400 28.400 0.000 5.302 3.067
99.400 28.600 0.000 5.303 3.067
99.400 28.800 0.000 5.309 3.069
99.400 29.000 0.000 5.292 3.066
99.400 29.200 0.000 5.336 3.085
99.400 29.400 0.000 5.296 3.096
99.400 29.600 0.000 5.322 3.100
99.400 29.800 0.000 5.294 3.116
99.400 30.000 0.000 5.298 3.128
99.400 30.200 0.000 5.046 3.050
99.400 30.400 0.000 4.869 2.986
99.400 30.600 0.000 4.873 2.946
99.400 30.800 0.000 5.036 3.030
99.400 31.000 0.000 5.237 3.111
99.400 31.200 0.000 5.236 3.115
99.400 31.400 0.000 5.155 3.112
99.400 31.600 0.000 4.923 3.082
99.400 31.800 0.000 5.173 3.120
99.400 32.000 0.000 5.219 3.128
99.400 32.200 0.000 5.259 3.137
99.400 32.400 0.000 5.271 3.140
99.600 23.000 0.000 5.167 2.992
99.600 23.200 0.000 5.136 2.988
99.600 23.400 0.000 5.147 3.000
99.600 23.600 0.000 5.119 2.988
99.600 23.800 0.000 5.083 2.981
99.600 24.000 0.000 5.024 2.961
99.600 24.200 0.000 4.967 2.951
99.600 24.400 0.000 4.910 2.945
99.600 24.600 0.000 4.867 2.942
99.600 24.800 0.000 4.843 2.944
99.600 25.000 0.000 4.788 2.933
99.600 25.200 0.000 4.751 2.933
99.600 25.400 0.000 4.749 2.940
99.600 25.600 0.000 4.801 2.954
99.600 25.800 0.000 4.879 2.969
99.600 26.000 0.000 4.930 2.973
99.600 26.200 0.000 4.950 2.961
99.600 26.400 0.000 5.008 2.974
99.600 26.600 0.000 5.041 2.977
99.600 26.800 0.000 5.108 2.989
99.600 27.000 0.000 5.175 3.000
99.600 27.200 0.000 5.220 3.009
99.600 27.400 0.000 5.295 3.037
99.600 27.600 0.000 5.238 3.018
99.600 27.800 0.000 5.271 3.026
99.600 28.000 0.000 5.277 3.034
99.600 28.200 0.000 5.267 3.043
99.600 28.400 0.000 5.266 3.059
99.600 28.600 0.000 5.291 3.070
99.600 28.800 0.000 5.299 3.067
99.600 29.000 0.000 5.341 3.070
99.600 29.200 0.000 5.336 3.090
99.600 29.400 0.000 5.317 3.098
99.600 29.600 0.000 5.323 3.107
99.600 29.800 0.000 5.336 3.111
99.600 30.000 0.000 5.334 3.115
99.600 30.200 0.000 5.105 3.038
99.600 30.400 0.000 4.915 2.965
99.600 30.600 0.000 4.899 2.966
99.600 30.800 0.000 5.049 3.033
99.600 31.000 0.000 5.201 3.101
99.600 31.200 0.000 5.228 3.109
99.600 31.400 0.000 5.227 3.116
99.600 31.600 0.000 5.204 3.124
99.600 31.800 0.000 5.173 3.114
99.600 32.000 0.000 5.153 3.112
99.600 32.200 0.000 5.225 3.124
